name	uw1_fmt_offset	uw2_fmt_offset
conv_comobj_	0x000005d2	0x000029b8
_cstart_	0x000005f8	0x00002760
ItemWeight_	0x00004a94	0x0003b960
AddTogether_	0x00005bfc	0x0003cb40
CritterLook_	0x00006b60	0x0003dc34
player_key_sleep_	0x0000c76c	0x000479dc
mous_in_stat_	0x0000d570	0x0004bc74
delete_trap_	0x0000e9e8	0x0004de40
is_this_wandering_	0x0000eec0	0x0004e778
DoWanderingMonsters_	0x0000ef88	0x0004e830
solve_compass_	0x0000f114	0x0004f024
print_path_to_	0x0000f22c	0x0004f1a0
unsolve_compass_	0x0000f2e4	0x0004f24c
set_next_square_on_path_	0x00011fb8	0x00005140
deltatotheta_	0x000123e0	0x000054c0
kill_all_effects_	0x0001a3f8	0x0000e89c
save_rect	0x0001b46f	0x0000fd91
_AIL_release_all_timers	0x0001b919	0x000101b8
_AIL_set_timer_frequency	0x0001ba35	0x000102dc
_AIL_set_timer_divisor	0x0001ba55	0x000102fc
oCswap_	0x000211d4	0x00015c80
Obj_FreeLinkChain_	0x00021f30	0x00016990
Obj_PtrTMem_	0x00021f74	0x000169d8
Obj_FindInMap_	0x000222b4	0x00016c94
get_phys_data_	0x00023404	0x000175cc
mob_init_	0x00023b50	0x00017d90
mob_to_static_	0x00023c78	0x00017f2c
preset_grid_	0x00026220	0x0001a4f4
fill_the_grid_	0x00026d68	0x0001b04c
sort_setup_	0x0002981c	0x0001da68
set_sds_	0x00029b74	0x0001ddc8
get_hp_back_	0x0002e2dc	0x000488a4
healing_	0x0002e330	0x000488f8
get_name_	0x0002f998	0x0002134c
checkSpell_	0x000319b4	0x00021e78
decode_obj_spell_	0x00031f7c	0x000220b4
remove_spell_	0x000320b0	0x000221e8
mvcheck_	0x00032178	0x000222dc
set_mob_att_	0x000379c4	0x0002839c
show_atts_	0x0003a4e8	0x0002b0e4
setup_converse_data_	0x0003d628	0x0002e254
lsqrt32	0x000467b6	0x00058944
mm3x9_bpsi	0x0004d221	0x00054925
mm3x9t	0x0004d3ed	0x00054a00
overflow_handler_special_bp	0x0004d4ed	0x00054b0a
_nrealloc_	0x00050ee3	0x0005e407
realloc_	0x00050ee3	0x0005e407
_nmalloc_	0x00050f67	0x0005e48b
malloc_	0x00050f67	0x0005e48b
rename_	0x000511aa	0x0005ea68
open_	0x000511cf	0x0005eb7e
sopen_	0x000511ee	0x0005eb9d
lseek_	0x0005144d	0x0005edfc
getcwd_	0x000514eb	0x0005ee2e
access_	0x000515c7	0x0005f05a
strcmp_	0x00051600	0x0005f0a0
strupr_	0x00051721	0x0005f18d
strstr_	0x00051740	0x0005f1ac
strrchr_	0x00051805	0x0005f271
strncpy_	0x0005181e	0x0005f28a
strlen_	0x00051863	0x0005f2b0
strcpy_	0x0005187c	0x0005f2c9
strcat_	0x000518bf	0x0005f30c
rand_	0x00051901	0x0005f3a0
memset_	0x00051959	0x0005f3f8
memcpy_	0x00051977	0x0005f416
ultoa_	0x000519c1	0x0005f460
labs_	0x00051a2b	0x0005f4ca
utoa_	0x00051a57	0x0005f4f6
freopen_	0x00051c52	0x0005fbb5
fgets_	0x00051c7a	0x0005fbdd
__doclose_	0x00051cf8	0x0005fc5b
_expand_	0x000521d6	0x0006012e
_nexpand_	0x000521d6	0x0006012e
__MemAllocator	0x000522dc	0x00060234
__MemFree	0x0005238c	0x000602e4
isatty_	0x000524d3	0x00060421
__getctime_	0x0005250d	0x0006043e
_d2ttime_	0x0005262d	0x0006055e
fseek_	0x00052863	0x0005f71e
__fprtf_	0x000529ed	0x00061007
fgetc_	0x00052a5c	0x00061076
__filbuf_	0x00052abf	0x000610d9
tell_	0x00053156	0x0005e7cc
__qread_	0x00053210	0x00060403
__leapyear_	0x00053663	0x000618a0
__prtf_	0x00053912	0x0006063d
__brktime_	0x000540e3	0x00061b5f
__setbits_	0x000542bf	0x00061c77
strnicmp_	0x000543fb	0x00061d95
_SlotToDisplay	0x00055a2a	0x0006625a
_Color_a_b	0x000565aa	0x0006388e
_cDbgRef	0x000565aa	0x0006388e
color_a_b	0x000565aa	0x0006388e
_chgtable	0x00058934	0x00065870
_trans_grid	0x00058954	0x00065890
_enc_dat	0x00058995	0x000658d1
_rect_sub	0x00058aec	0x00065ad4
_dirtab	0x00058b2c	0x00065b14
_trans_pos_x	0x00058b50	0x00065b38
_liquid_h	0x00058c12	0x00065c00
_hgt_val	0x000590e8	0x000662c0
_dxtab	0x000591cc	0x000659fa
noGraph	0x0005a934	0x000689b8
default_16_palette	0x0005dd84	0x00077d6e
_checkerboard1	0x0005fbac	0x0006b6b4
fliptime	0x00060ab8	0x0007690c
_gammatable	0x0006c4d5	0x000666d4
rockbig	0x00072c24	0x0007077c
rockmed	0x0007344a	0x00070fa2
___tmpfnext	0x000789b0	0x000788a4
___diyr	0x00078bd8	0x00078ad4
___dilyr	0x00078bf2	0x00078aee
