name	offset	segment
API_timer	0x0000fe65	1
AddToEmptySlot_	0x0003cb00	1
AddToInventory_	0x0003aea8	1
AddToOccupiedSlot_	0x0003cc9c	1
AddTogether_	0x0003cb40	1
Anim_Load_	0x0003ead0	1
Anim_Save_	0x0003eb4c	1
AskHowMany_	0x0003c3e0	1
AskInventory_	0x0003ae98	1
AutoMap_	0x00024794	1
BagWeight_	0x0003a148	1
BeginInventory_	0x0003ba64	1
BlastFunction_	0x0002207c	1
BlockingTerrain_	0x00012f00	1
BonesLook_	0x0003db60	1
BookLook_	0x0003d7bc	1
BridgeHeight_	0x00012ebc	1
ChangeAutoMapLevel_	0x00025d5c	1
ChangeLevel_	0x00045c7c	1
Change_AnimPtr_	0x00023080	1
ClearAutoMap_	0x00024af4	1
ClearInventory_	0x0003bbf0	1
Clipped_through_eye_flag	0x0007649d	1
Clk_	0x000535b4	1
CloseAllBags_	0x00039630	1
CloseDoor_	0x00041790	1
CloseTheBag_	0x0003975c	1
CollObject_	0x0001a0bc	1
CombineObjs_	0x0002c814	1
CompressLZW_disk_	0x0003e568	1
ComputeHeading_	0x00015634	1
Converse_	0x0002cd58	1
CreateObj_	0x0001f5b0	1
CritterLook_	0x0003dc34	1
DLL_load_	0x0004f8f8	1
DLL_read_	0x0004f7c8	1
DLL_size_	0x0004f80c	1
DamageInventory_	0x0003b7e4	1
DecompressLZW_disk_	0x0003e2b4	1
DegradeLights_	0x0003f318	1
DeleteNode_	0x0003e0d8	1
DetectedTrap_	0x000481e0	1
DetermineBetterHit_	0x00025170	1
DisplayInvObject_	0x0003c284	1
DisplayInvSpecial_	0x0003c054	1
DisplayInventory_	0x0003cf2c	1
DisplayOpenBag_	0x000397e4	1
DoClosingDoors_	0x0004e8cc	1
DoDoorTile_	0x0002505c	1
DoInventoryDrag_	0x0003bf60	1
DoInventoryMouse_	0x0003bc3c	1
DoPlayerWeapon_	0x00011a54	1
DoSaveRest_	0x000457b0	1
DoSpecialActions_	0x0003945c	1
DoTile_	0x00024da0	1
DoWanderingMonsters_	0x0004e830	1
DumpTheBag_	0x00041898	1
EncumCheck_	0x0003b9f4	1
EndInventory_	0x0003bbec	1
ExitAutoMap_	0x00024a78	1
FindInventoryHit_	0x0003d1b8	1
FindObj_	0x0003b00c	1
FindSlot_	0x0003af4c	1
FixBagArea_	0x0003969c	1
FixOpenBag_	0x00039870	1
FixPlayerEquips_	0x00043684	1
FreePlayerInv_	0x0003a5cc	1
GetAutoMapLevel_	0x00024a04	1
GetHgt_	0x00014e78	1
GetLevel_	0x000454fc	1
GetObjDesc_	0x0003ddd0	1
GetPlayerWeapon_	0x0001193c	1
GetSlopeHgt_	0x00014f78	1
GetTheWords_	0x00025a80	1
HasOrIsObj_	0x00016c34	1
INT24	0x0005184f	1
InPickRange_	0x00012d60	1
InitPlayerRec_	0x00043acc	1
InsertNode_	0x0003dedc	1
InvRemoveObject_	0x0003b2d8	1
InvRemoveOneObject_	0x0003b2e8	1
InvRestoreNexts_	0x0003a528	1
InvSaveNexts_	0x0003a3c8	1
IsMobElem_	0x00016b14	1
IsaDoor_	0x00019fe4	1
ItemFitsSlot_	0x0003c524	1
ItemWeight_	0x0003b960	1
KeyLook_	0x0003dc10	1
Killorn_just_crashed_	0x00036cec	1
LOTUS40	0x0006c182	1
Load_Terrains_	0x00042df8	1
LookAt_	0x0003d26c	1
MakeBagClose_	0x000395f0	1
ManageDungeonMap_	0x00025320	1
Map_GetAddr_	0x0001f584	1
Map_Init_	0x0003e8ec	1
Map_Load_	0x0003e91c	1
Map_ObjFix_	0x0001631c	1
Map_Save_	0x0003e9f0	1
MousQUp_	0x0000c5cc	1
MousReSave3d_	0x0000c678	1
MousReSave_	0x0000c620	1
NightCleanCritPages_	0x0003831c	1
ObjCrunch_	0x00017138	1
ObjWorn_	0x0003b784	1
Obj_AddEnd_	0x000167f8	1
Obj_Add_	0x000167a8	1
Obj_Alloc_	0x00016688	1
Obj_Check_	0x000163dc	1
Obj_Elem_Fate_	0x000164c4	1
Obj_Fate_	0x00016544	1
Obj_FindInMapSquare_	0x00016d2c	1
Obj_FindInMap_	0x00016c94	1
Obj_Find_	0x00016a8c	1
Obj_FreeChain_	0x0001690c	1
Obj_FreeLinkChain_	0x00016990	1
Obj_Free_	0x00016738	1
Obj_GarbageCollect_	0x00016564	1
Obj_InList_	0x00016b6c	1
Obj_IntTMem_	0x00016a5c	1
Obj_ListOkay_	0x00016f98	1
Obj_MemTPtr_	0x00016a2c	1
Obj_PtrTMem_	0x000169d8	1
Obj_Punt_	0x00016894	1
Obj_Rem_	0x0001684c	1
ObjectCheck_	0x00015a10	1
ObjsBeCombinable_	0x0002c72c	1
OpenDoor_	0x00041668	1
OpenTheBag_	0x00039a00	1
PixelDarken_	0x00024d48	1
Ply_Weight_	0x0004e9b4	1
PreLoadCritPages_	0x00038350	1
Punt_player_inv_	0x0003a1d8	1
PutObjectInBag_	0x00039dbc	1
RearrangeInventory_	0x0003cac0	1
RectLook_	0x0003d918	1
RedispInv_	0x00012d38	1
RedispRune_	0x0003a87c	1
RedispStat_	0x0004bb74	1
RedisplayBarterSlots_	0x000298f4	1
RedisplayInvSlot_	0x0003ae88	1
RedisplayStrings_	0x0002591c	1
Ref_	0x000535d8	1
RemoveAfterCombine_	0x0002c82c	1
RemoveAllFromSlot_	0x0003b460	1
RemoveOneFromSlot_	0x0003b4cc	1
RemoveTrap_	0x00048274	1
RestoreGame_	0x00045888	1
RestorePlayerInv_	0x0003a6a8	1
ReturnObject_	0x000143f0	1
SaveAutoMapLevel_	0x000249b0	1
SaveGame_	0x00045954	1
SaveLevel_	0x000455a4	1
SavePlayerInv_	0x0003a2f8	1
SaveTheWords_	0x000259b4	1
Sched_Delete_	0x00046630	1
Sched_DoEvent_	0x00037fe8	1
Sched_GetClock_	0x000466f4	1
Sched_GetTime_	0x00046330	1
Sched_IncrTime_	0x000464d0	1
Sched_InsertLong_	0x000464fc	1
Sched_Insert_	0x000466d8	1
Sched_Load_	0x00046224	1
Sched_Migrate_	0x0004669c	1
Sched_Save_	0x00046314	1
Sched_SetAllClocks_	0x00046430	1
Sched_SetBuf_	0x00046218	1
Sched_SetTime_	0x00046350	1
Sched_Should_Save_	0x00046284	1
Sched_WrapTime_	0x000463b4	1
ScrollItemsDown_	0x00039d24	1
ScrollItemsUp_	0x00039cf8	1
SetCursorObj_	0x0003c330	1
SetOffTrap_	0x0004c614	1
SetPnt_	0x0000f884	1
ShadeSide_	0x00024c6c	1
ShowAutoMapLevel_	0x00025b98	1
ShowDungeonMap_	0x00024b0c	1
ShowRune_	0x0003a82c	1
ShowSaveRest_	0x00045724	1
SolveCenter_	0x00015094	1
SolvePnt_	0x00014fe4	1
SpecialLook_	0x0003dd28	1
SwapItemsInBag_	0x0003a030	1
TalkTo_	0x0002c864	1
TerrainCheck_	0x00015154	1
ToggleDoor_	0x00041878	1
Txm_Load_	0x00042c74	1
Txm_Save_	0x00042d2c	1
UseAnvilOn_	0x000406f4	1
UseBonesOn_	0x00040404	1
UseBook_	0x00040f70	1
UseCont_	0x000412b8	1
UseCrystal_	0x000404e0	1
UseFood_	0x00040740	1
UseKeyGem_	0x00040550	1
UseKeyOn_	0x00041274	1
UseKey_	0x00021a54	1
UseLight_	0x00041324	1
UseLockpickOn_	0x000411b4	1
UseMagic_	0x00041c58	1
UseObj_	0x0002164c	1
UseOilOn_	0x00040d34	1
UsePoleOn_	0x000406ac	1
UseReag_	0x00021bf4	1
UseRect_	0x00041a54	1
UseRockHammerOn_	0x00041dc4	1
UseRune_	0x00041924	1
UseThing_	0x00021a80	1
UseTrap_	0x0004c948	1
UseTrigger_	0x0004c424	1
UseUnique_	0x00041498	1
UseUtil_	0x00041f88	1
UseWand_	0x00021b1c	1
UseWatch_	0x00040460	1
WhatsInSlot_	0x0003ae98	1
_AIL_VOC_playback_status	0x0001051b	1
_AIL_beat_count	0x0001060e	1
_AIL_branch_index	0x00010620	1
_AIL_cancel_callback	0x00010668	1
_AIL_channel_notes	0x0001063b	1
_AIL_controller_value	0x00010629	1
_AIL_default_timbre_cache_size	0x00010587	1
_AIL_define_timbre_cache	0x00010590	1
_AIL_describe_driver	0x000103da	1
_AIL_detect_device	0x000103f3	1
_AIL_digital_playback_panpot	0x00010563	1
_AIL_digital_playback_volume	0x00010551	1
_AIL_format_VOC_file	0x00010512	1
_AIL_format_sound_buffer	0x000104f7	1
_AIL_index_VOC_block	0x000104e5	1
_AIL_init_driver	0x000103fc	1
_AIL_install_callback	0x0001065f	1
_AIL_install_timbre	0x000105a2	1
_AIL_interrupt_divisor	0x00010336	1
_AIL_lock_channel	0x00010671	1
_AIL_map_sequence_channel	0x0001067a	1
_AIL_measure_count	0x00010617	1
_AIL_pause_digital_playback	0x00010536	1
_AIL_play_VOC_file	0x00010509	1
_AIL_protect_timbre	0x000105ab	1
_AIL_register_driver	0x00010343	1
_AIL_register_fx	0x00010695	1
_AIL_register_sequence	0x00010575	1
_AIL_register_sound_buffer	0x000104ee	1
_AIL_register_timer	0x000100ca	1
_AIL_relative_tempo	0x000105f3	1
_AIL_relative_volume	0x000105ea	1
_AIL_release_all_timers	0x000101b8	1
_AIL_release_channel	0x00010683	1
_AIL_release_driver_handle	0x000103bd	1
_AIL_release_sequence_handle	0x0001057e	1
_AIL_release_timer_handle	0x00010177	1
_AIL_request_fx	0x0001069e	1
_AIL_resume_digital_playback	0x0001053f	1
_AIL_resume_sequence	0x000105d8	1
_AIL_send_channel_voice_message	0x00010644	1
_AIL_send_sysex_message	0x0001064d	1
_AIL_sequence_status	0x000105e1	1
_AIL_set_controller_value	0x00010632	1
