L:0,I:0,T:240,D:an_In_stone,Q:48,O:0,L:0,N:3
L:0,I:1,T:63,D:a_jeweled_shield,Q:0,O:0,L:0,N:0
L:0,I:2,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:3,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:4,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:5,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:6,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:7,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:8,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:9,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:10,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:11,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:12,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:13,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:14,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:15,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:16,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:17,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:18,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:19,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:20,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:21,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:22,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:23,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:24,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:25,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:26,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:27,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:28,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:29,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:30,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:31,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:32,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:33,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:34,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:35,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:36,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:37,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:38,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:39,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:40,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:41,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:42,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:43,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:44,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:45,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:46,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:47,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:48,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:49,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:50,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:51,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:52,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:53,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:54,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:55,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:56,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:57,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:58,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:59,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:60,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:61,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:62,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:63,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:64,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
